Date,Open,High,Low,Close,Volume,Change,Daily_Return,Range,Range_Pct,Body_Pct,Close_Direction,Gap_Pct,RV20,ATR14,ATR_Pct,SMA20,SMA50,SMA200,EMA9,EMA21,RSI14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Width_Pct,High20,Low20,Dist_SMA50_Pct,Volume_SMA20,Volume_Ratio
2024-03-14,2174.5,2176.53,2155.01,2162.09,5556.0,-12.41,-0.5698,21.52,0.9897,0.5707,0,0.0009,0.6741,23.5471,1.0891,2088.6315,2051.7438,1977.8168,2146.9835,2105.8839,79.9032,39.0158,29.6146,9.4012,2220.6299,2088.6315,1956.6331,12.6397,2193.44,1996.67,5.3782,5499.4,1.0103
2024-03-15,2162.12,2171.96,2156.18,2156.18,5556.0,-5.94,-0.2733,15.78,0.7298,0.2747,0,0.0014,0.6894,23.9336,1.11,2095.758,2053.9532,1978.7938,2148.8228,2110.4562,79.5147,37.8677,31.2652,6.6025,2226.091,2095.758,1965.425,12.4378,2193.44,2012.97,4.9771,5492.55,1.0116
2024-03-18,2156.5,2162.23,2146.66,2160.18,5434.0,3.68,0.1855,15.57,0.722,0.1706,1,0.0148,0.6897,24.3421,1.1269,2102.87,2056.5932,1979.8073,2151.0943,2114.9766,80.1804,36.8559,32.3833,4.4725,2230.8254,2102.87,1974.9146,12.1696,2193.44,2015.17,5.0368,5501.0,0.9878
2024-03-19,2160.22,2162.56,2149.44,2157.59,5562.0,-2.63,-0.1199,13.12,0.6073,0.1217,0,0.0019,0.6974,24.4679,1.134,2109.553,2059.1418,1980.878,2152.3934,2118.8505,78.7796,35.4365,32.994,2.4425,2234.064,2109.553,1985.042,11.8045,2193.44,2016.41,4.781,5493.2,1.0125
2024-03-20,2157.58,2186.8,2151.06,2185.97,5430.0,28.39,1.3154,35.74,1.6565,1.3158,1,-0.0005,0.7288,25.525,1.1677,2117.5765,2062.3812,1982.1041,2159.1087,2124.9523,80.569,36.1845,33.6321,2.5524,2239.9447,2117.5765,1995.2083,11.5574,2193.44,2016.41,5.9925,5477.25,0.9914
2024-03-21,2186.0,2210.97,2169.36,2181.19,5004.0,-4.81,-0.2187,41.61,1.9035,0.22,0,0.0014,0.7349,25.0571,1.1488,2125.4155,2065.4304,1983.2201,2163.525,2130.0648,74.6758,35.9769,34.101,1.8758,2242.6324,2125.4155,2008.1986,11.03,2210.97,2016.41,5.6046,5445.9,0.9189
2024-03-22,2181.21,2185.3,2159.42,2165.5,5288.0,-15.71,-0.7193,25.88,1.1865,0.7202,0,0.0009,0.7725,24.1186,1.1138,2131.889,2067.7584,1984.259,2163.92,2133.2862,63.9319,34.1526,34.1113,0.0413,2242.4311,2131.889,2021.3469,10.3703,2210.97,2025.08,4.7269,5427.85,0.9742
2024-03-25,2176.3,2179.28,2164.6,2171.52,5271.0,-4.78,0.278,14.68,0.6745,0.2196,0,0.4987,0.7617,23.4043,1.0778,2138.9075,2070.0936,1985.3646,2165.44,2136.762,62.4643,32.8143,33.8519,-1.0376,2239.9338,2138.9075,2037.8812,9.4465,2210.97,2025.08,4.8996,5411.95,0.974
2024-03-26,2171.59,2198.59,2168.69,2178.01,5406.0,6.42,0.2989,29.9,1.3769,0.2956,1,0.0032,0.7566,23.6979,1.0881,2146.289,2073.09,1986.5742,2167.954,2140.5118,59.2429,31.9096,33.4635,-1.5538,2234.7151,2146.289,2057.8629,8.2399,2210.97,2025.08,5.061,5390.2,1.0029
2024-03-27,2178.08,2196.93,2174.69,2194.82,5428.0,16.74,0.7718,22.24,1.0211,0.7686,1,0.0032,0.7616,24.1029,1.0982,2154.282,2076.8612,1987.8856,2173.3272,2145.4489,60.5288,32.1781,33.2064,-1.0283,2228.0161,2154.282,2080.5479,6.8454,2210.97,2028.75,5.6797,5373.5,1.0101
2024-03-28,2194.8,2231.01,2188.17,2231.01,5178.0,36.21,1.6489,42.84,1.9519,1.6498,1,-0.0009,0.8127,24.3986,1.0936,2163.6465,2081.0206,1989.4727,2184.8638,2153.2272,64.2246,34.9087,33.5469,1.3619,2224.7483,2163.6465,2102.5447,5.648,2231.01,2039.52,7.2075,5345.95,0.9686
2024-03-29,2231.27,2232.75,2231.27,2232.75,847.0,1.48,0.078,1.48,0.0663,0.0663,1,0.0117,0.7328,23.8214,1.0669,2171.0955,2085.0804,1991.0315,2194.441,2160.4565,63.7847,36.7891,34.1953,2.5938,2227.3263,2171.0955,2114.8647,5.18,2232.75,2079.74,7.0822,5112.6,0.1657
2024-04-01,2233.03,2265.06,2231.1,2250.48,4956.0,17.45,0.7941,33.96,1.5208,0.7814,1,0.0125,0.6914,23.98,1.0656,2177.8815,2089.6638,1992.6677,2205.6488,2168.6405,76.3346,39.2574,35.2077,4.0497,2238.1026,2177.8815,2117.6604,5.5302,2265.06,2111.24,7.6958,5085.55,0.9745
2024-04-02,2250.56,2280.33,2248.01,2280.32,5073.0,29.76,1.3259,32.32,1.4361,1.3223,1,0.0036,0.725,24.7786,1.0866,2185.5025,2094.6906,1994.5018,2220.583,2178.7932,78.0653,43.1243,36.7911,6.3333,2256.6734,2185.5025,2114.3316,6.513,2280.33,2124.31,8.8619,5076.5,0.9993
2024-04-03,2280.39,2300.14,2268.72,2299.85,5065.0,19.46,0.8565,31.42,1.3778,0.8534,1,0.0031,0.721,25.4857,1.1081,2193.084,2100.4244,1996.4644,2236.4364,2189.7983,85.1967,47.2204,38.8769,8.3435,2278.4266,2193.084,2107.7414,7.7829,2300.14,2145.06,9.4945,5059.95,1.001
2024-04-04,2299.81,2303.32,2284.45,2290.49,5149.0,-9.32,-0.407,18.87,0.8205,0.4053,0,-0.0017,0.7384,25.7064,1.1223,2199.6195,2105.831,1998.3756,2247.2471,2198.9521,83.7208,49.1448,40.9305,8.2143,2293.7867,2199.6195,2105.4523,8.5621,2303.32,2146.66,8.7689,5050.6,1.0195
